행정구역,2022년02월_계_총인구수,2022년02월_계_연령구간인구수,2022년02월_계_0~4세,2022년02월_계_5~9세,2022년02월_계_10~14세,2022년02월_남_총인구수,2022년02월_남_연령구간인구수,2022년02월_남_0~4세,2022년02월_남_5~9세,2022년02월_남_10~14세,2022년02월_여_총인구수,2022년02월_여_연령구간인구수,2022년02월_여_0~4세,2022년02월_여_5~9세,2022년02월_여_10~14세
서울특별시 종로구 (1111000000),"144,575","11,799","2,662","4,183","4,954","70,092","5,937","1,349","2,116","2,472","74,483","5,862","1,313","2,067","2,482"
서울특별시 중구 (1114000000),"122,167","9,196","2,870","3,283","3,043","59,446","4,692","1,481","1,701","1,510","62,721","4,504","1,389","1,582","1,533"
서울특별시 용산구 (1117000000),"222,413","19,419","5,731","6,788","6,900","106,881","9,890","2,970","3,447","3,473","115,532","9,529","2,761","3,341","3,427"
서울특별시 성동구 (1120000000),"285,137","27,901","9,033","9,906","8,962","138,866","14,193","4,629","5,005","4,559","146,271","13,708","4,404","4,901","4,403"
서울특별시 광진구 (1121500000),"340,494","29,400","7,204","10,362","11,834","164,226","15,084","3,708","5,315","6,061","176,268","14,316","3,496","5,047","5,773"
서울특별시 동대문구 (1123000000),"337,881","30,266","8,566","10,805","10,895","166,852","15,537","4,348","5,558","5,631","171,029","14,729","4,218","5,247","5,264"
서울특별시 중랑구 (1126000000),"388,606","33,338","9,508","11,819","12,011","191,682","17,078","4,828","6,149","6,101","196,924","16,260","4,680","5,670","5,910"
서울특별시 성북구 (1129000000),"431,892","44,437","11,097","16,049","17,291","208,211","22,729","5,765","8,100","8,864","223,681","21,708","5,332","7,949","8,427"
서울특별시 강북구 (1130500000),"298,074","23,456","5,561","8,276","9,619","145,066","12,057","2,877","4,267","4,913","153,008","11,399","2,684","4,009","4,706"
서울특별시 도봉구 (1132000000),"316,631","28,109","6,769","10,025","11,315","154,046","14,571","3,558","5,182","5,831","162,585","13,538","3,211","4,843","5,484"
서울특별시 노원구 (1135000000),"510,527","53,679","11,933","18,354","23,392","245,744","27,752","6,172","9,456","12,124","264,783","25,927","5,761","8,898","11,268"
서울특별시 은평구 (1138000000),"472,640","44,752","11,368","15,888","17,496","225,941","22,963","5,840","8,164","8,959","246,699","21,789","5,528","7,724","8,537"
서울특별시 서대문구 (1141000000),"305,793","29,349","7,968","10,789","10,592","146,045","14,889","4,131","5,409","5,349","159,748","14,460","3,837","5,380","5,243"
서울특별시 마포구 (1144000000),"368,560","36,788","10,060","13,166","13,562","173,282","18,738","5,187","6,679","6,872","195,278","18,050","4,873","6,487","6,690"
서울특별시 양천구 (1147000000),"446,478","53,720","10,435","18,769","24,516","218,786","27,805","5,463","9,541","12,801","227,692","25,915","4,972","9,228","11,715"
서울특별시 강서구 (1150000000),"573,531","57,109","15,344","20,605","21,160","275,710","29,172","7,806","10,457","10,909","297,821","27,937","7,538","10,148","10,251"
서울특별시 구로구 (1153000000),"396,221","39,934","11,302","14,175","14,457","195,164","20,376","5,844","7,194","7,338","201,057","19,558","5,458","6,981","7,119"
서울특별시 금천구 (1154500000),"230,856","17,892","5,139","6,315","6,438","116,449","9,164","2,671","3,224","3,269","114,407","8,728","2,468","3,091","3,169"
서울특별시 영등포구 (1156000000),"376,884","36,038","11,648","12,747","11,643","185,824","18,467","5,962","6,538","5,967","191,060","17,571","5,686","6,209","5,676"
서울특별시 동작구 (1159000000),"385,490","35,469","9,662","12,898","12,909","186,397","18,238","4,961","6,578","6,699","199,093","17,231","4,701","6,320","6,210"
서울특별시 관악구 (1162000000),"486,209","31,714","8,335","11,130","12,249","244,287","16,294","4,297","5,713","6,284","241,922","15,420","4,038","5,417","5,965"
서울특별시 서초구 (1165000000),"410,682","54,261","11,745","19,437","23,079","196,211","27,707","6,078","9,909","11,720","214,471","26,554","5,667","9,528","11,359"
서울특별시 강남구 (1168000000),"533,286","64,558","12,175","22,318","30,065","255,159","33,477","6,279","11,483","15,715","278,127","31,081","5,896","10,835","14,350"
서울특별시 송파구 (1171000000),"661,452","77,997","20,194","28,330","29,473","318,851","40,026","10,433","14,541","15,052","342,601","37,971","9,761","13,789","14,421"
서울특별시 강동구 (1174000000),"461,972","53,777","14,420","19,434","19,923","226,605","28,143","7,436","10,154","10,553","235,367","25,634","6,984","9,280","9,370"
부산광역시 중구 (2611000000),"40,582","1,939",413,683,843,"19,756",999,231,349,419,"20,826",940,182,334,424
부산광역시 서구 (2614000000),"104,618","8,615","2,007","3,193","3,415","50,597","4,472","1,025","1,691","1,756","54,021","4,143",982,"1,502","1,659"
부산광역시 동구 (2617000000),"88,245","6,250","1,774","2,184","2,292","43,132","3,267",963,"1,136","1,168","45,113","2,983",811,"1,048","1,124"
부산광역시 영도구 (2620000000),"109,991","8,135","1,821","2,939","3,375","54,185","4,124",907,"1,509","1,708","55,806","4,011",914,"1,430","1,667"
부산광역시 부산진구 (2623000000),"351,764","31,332","8,204","11,450","11,678","169,496","15,867","4,215","5,760","5,892","182,268","15,465","3,989","5,690","5,786"
부산광역시 동래구 (2626000000),"273,802","32,943","7,713","12,347","12,883","132,969","17,034","3,939","6,366","6,729","140,833","15,909","3,774","5,981","6,154"
부산광역시 남구 (2629000000),"260,624","27,446","5,903","10,298","11,245","127,295","14,041","3,032","5,228","5,781","133,329","13,405","2,871","5,070","5,464"
부산광역시 북구 (2632000000),"281,749","28,721","7,414","10,527","10,780","139,012","14,786","3,803","5,428","5,555","142,737","13,935","3,611","5,099","5,225"
부산광역시 해운대구 (2635000000),"394,792","44,954","10,128","16,582","18,244","189,702","23,159","5,205","8,597","9,357","205,090","21,795","4,923","7,985","8,887"
부산광역시 사하구 (2638000000),"306,098","30,166","7,142","11,042","11,982","152,207","15,499","3,680","5,664","6,155","153,891","14,667","3,462","5,378","5,827"
부산광역시 금정구 (2641000000),"226,029","19,868","4,406","7,357","8,105","110,501","10,214","2,265","3,782","4,167","115,528","9,654","2,141","3,575","3,938"
부산광역시 강서구 (2644000000),"143,227","27,827","8,282","11,258","8,287","74,161","14,334","4,357","5,786","4,191","69,066","13,493","3,925","5,472","4,096"
부산광역시 연제구 (2647000000),"207,178","21,916","5,741","8,096","8,079","99,714","11,150","2,900","4,075","4,175","107,464","10,766","2,841","4,021","3,904"
부산광역시 수영구 (2650000000),"174,838","15,215","4,149","5,540","5,526","82,451","7,800","2,052","2,887","2,861","92,387","7,415","2,097","2,653","2,665"
부산광역시 사상구 (2653000000),"207,138","17,900","4,403","6,565","6,932","104,446","9,183","2,305","3,329","3,549","102,692","8,717","2,098","3,236","3,383"
부산광역시 기장군 (2671000000),"176,721","27,996","7,046","10,981","9,969","87,487","14,330","3,576","5,607","5,147","89,234","13,666","3,470","5,374","4,822"
대구광역시 중구 (2711000000),"74,710","7,378","2,148","2,790","2,440","35,870","3,797","1,063","1,447","1,287","38,840","3,581","1,085","1,343","1,153"
대구광역시 동구 (2714000000),"341,730","36,903","9,921","13,785","13,197","167,994","18,879","5,107","7,008","6,764","173,736","18,024","4,814","6,777","6,433"
대구광역시 서구 (2717000000),"163,588","11,239","2,437","4,215","4,587","81,680","5,744","1,284","2,154","2,306","81,908","5,495","1,153","2,061","2,281"
대구광역시 남구 (2720000000),"142,558","10,202","2,566","3,693","3,943","68,464","5,274","1,345","1,883","2,046","74,094","4,928","1,221","1,810","1,897"
대구광역시 북구 (2723000000),"436,613","51,314","12,640","18,886","19,788","217,176","26,317","6,460","9,653","10,204","219,437","24,997","6,180","9,233","9,584"
대구광역시 수성구 (2726000000),"416,496","52,616","9,474","18,987","24,155","201,368","27,211","4,909","9,802","12,500","215,128","25,405","4,565","9,185","11,655"
대구광역시 달서구 (2729000000),"543,469","61,879","13,643","22,836","25,400","267,631","31,750","7,005","11,686","13,059","275,838","30,129","6,638","11,150","12,341"
대구광역시 달성군 (2771000000),"261,931","41,641","12,441","15,631","13,569","132,856","21,246","6,344","7,953","6,949","129,075","20,395","6,097","7,678","6,620"
인천광역시 중구 (2811000000),"144,935","18,793","4,878","6,776","7,139","75,334","9,643","2,571","3,452","3,620","69,601","9,150","2,307","3,324","3,519"
인천광역시 동구 (2814000000),"60,848","5,763","1,295","2,056","2,412","30,647","3,003",649,"1,104","1,250","30,201","2,760",646,952,"1,162"
인천광역시 미추홀구 (2817700000),"407,131","41,169","10,841","14,852","15,476","205,029","21,108","5,580","7,525","8,003","202,102","20,061","5,261","7,327","7,473"
인천광역시 연수구 (2818500000),"388,461","59,338","14,729","21,832","22,777","192,816","30,356","7,557","11,108","11,691","195,645","28,982","7,172","10,724","11,086"
인천광역시 남동구 (2820000000),"516,859","61,934","14,381","22,856","24,697","256,765","31,860","7,446","11,782","12,632","260,094","30,074","6,935","11,074","12,065"
인천광역시 부평구 (2823700000),"485,656","49,816","12,258","17,690","19,868","239,739","25,560","6,371","8,926","10,263","245,917","24,256","5,887","8,764","9,605"
인천광역시 계양구 (2824500000),"294,795","28,995","6,900","10,049","12,046","146,824","14,743","3,519","5,111","6,113","147,971","14,252","3,381","4,938","5,933"
인천광역시 서구 (2826000000),"562,119","80,127","20,577","29,543","30,007","283,761","41,147","10,550","15,260","15,337","278,358","38,980","10,027","14,283","14,670"
인천광역시 강화군 (2871000000),"69,801","5,448","1,374","1,797","2,277","34,923","2,836",717,942,"1,177","34,878","2,612",657,855,"1,100"
인천광역시 옹진군 (2872000000),"20,373","1,393",392,479,522,"11,594",707,195,245,267,"8,779",686,197,234,255
광주광역시 동구 (2911000000),"103,299","10,649","3,314","3,910","3,425","50,943","5,472","1,700","2,033","1,739","52,356","5,177","1,614","1,877","1,686"
광주광역시 서구 (2914000000),"290,550","34,005","7,659","12,152","14,194","142,303","17,650","3,914","6,319","7,417","148,247","16,355","3,745","5,833","6,777"
광주광역시 남구 (2915500000),"215,454","28,477","6,251","10,673","11,553","103,497","14,396","3,196","5,436","5,764","111,957","14,081","3,055","5,237","5,789"
