행정구역,2022년02월_계_총인구수,2022년02월_계_연령구간인구수,2022년02월_계_0~9세,2022년02월_계_10~19세,2022년02월_계_20~29세,2022년02월_계_30~39세,2022년02월_계_40~49세,2022년02월_계_50~59세,2022년02월_계_60~69세,2022년02월_계_70~79세,2022년02월_계_80~89세,2022년02월_계_90~99세,2022년02월_계_100세 이상,2022년02월_남_총인구수,2022년02월_남_연령구간인구수,2022년02월_남_0~9세,2022년02월_남_10~19세,2022년02월_남_20~29세,2022년02월_남_30~39세,2022년02월_남_40~49세,2022년02월_남_50~59세,2022년02월_남_60~69세,2022년02월_남_70~79세,2022년02월_남_80~89세,2022년02월_남_90~99세,2022년02월_남_100세 이상,2022년02월_여_총인구수,2022년02월_여_연령구간인구수,2022년02월_여_0~9세,2022년02월_여_10~19세,2022년02월_여_20~29세,2022년02월_여_30~39세,2022년02월_여_40~49세,2022년02월_여_50~59세,2022년02월_여_60~69세,2022년02월_여_70~79세,2022년02월_여_80~89세,2022년02월_여_90~99세,2022년02월_여_100세 이상
서울특별시 종로구 (1111000000),"144,575","144,575","6,845","10,436","22,740","19,394","20,878","24,922","20,471","11,656","6,244",952,37,"70,092","70,092","3,465","5,192","10,923","9,665","10,076","12,515","10,241","5,189","2,521",294,11,"74,483","74,483","3,380","5,244","11,817","9,729","10,802","12,407","10,230","6,467","3,723",658,26
서울특별시 중구 (1114000000),"122,167","122,167","6,153","6,508","18,143","19,820","17,288","19,970","18,101","10,231","5,087",838,28,"59,446","59,446","3,182","3,232","8,363","9,915","8,831","10,147","9,025","4,636","1,879",224,12,"62,721","62,721","2,971","3,276","9,780","9,905","8,457","9,823","9,076","5,595","3,208",614,16
서울특별시 용산구 (1117000000),"222,413","222,413","12,519","14,637","32,451","37,629","33,598","35,998","29,388","15,969","8,712","1,437",75,"106,881","106,881","6,417","7,412","15,232","18,633","16,539","17,726","14,217","6,983","3,266",436,20,"115,532","115,532","6,102","7,225","17,219","18,996","17,059","18,272","15,171","8,986","5,446","1,001",55
서울특별시 성동구 (1120000000),"285,137","285,137","18,939","18,953","43,043","46,408","43,201","45,965","38,032","20,193","9,178","1,174",51,"138,866","138,866","9,634","9,421","21,193","22,783","21,669","22,769","18,605","8,992","3,476",307,17,"146,271","146,271","9,305","9,532","21,850","23,625","21,532","23,196","19,427","11,201","5,702",867,34
서울특별시 광진구 (1121500000),"340,494","340,494","17,566","24,807","61,628","54,732","50,430","53,826","44,441","22,024","9,697","1,286",57,"164,226","164,226","9,023","12,539","28,873","27,180","24,814","26,319","21,165","10,075","3,873",350,15,"176,268","176,268","8,543","12,268","32,755","27,552","25,616","27,507","23,276","11,949","5,824",936,42
서울특별시 동대문구 (1123000000),"337,881","337,881","19,371","23,042","56,357","48,766","49,068","52,112","47,814","27,433","12,347","1,501",70,"166,852","166,852","9,906","11,639","27,562","25,105","25,290","26,411","23,231","12,391","4,899",401,17,"171,029","171,029","9,465","11,403","28,795","23,661","23,778","25,701","24,583","15,042","7,448","1,100",53
서울특별시 중랑구 (1126000000),"388,606","388,606","21,327","25,355","54,062","57,492","55,857","67,207","61,248","31,295","13,069","1,628",66,"191,682","191,682","10,977","12,901","26,523","29,578","28,940","33,218","29,695","14,286","5,184",361,19,"196,924","196,924","10,350","12,454","27,539","27,914","26,917","33,989","31,553","17,009","7,885","1,267",47
서울특별시 성북구 (1129000000),"431,892","431,892","27,146","36,427","65,578","58,236","67,594","69,491","57,211","32,616","15,448","2,074",71,"208,211","208,211","13,865","18,492","31,461","29,124","33,246","34,293","26,892","14,179","6,121",525,13,"223,681","223,681","13,281","17,935","34,117","29,112","34,348","35,198","30,319","18,437","9,327","1,549",58
서울특별시 강북구 (1130500000),"298,074","298,074","13,837","20,588","40,857","36,714","43,564","51,480","47,375","29,290","12,827","1,499",43,"145,066","145,066","7,144","10,489","19,970","19,220","22,457","25,397","22,190","12,615","5,166",408,10,"153,008","153,008","6,693","10,099","20,887","17,494","21,107","26,083","25,185","16,675","7,661","1,091",33
서울특별시 도봉구 (1132000000),"316,631","316,631","16,794","24,082","41,175","38,898","45,930","55,895","51,734","27,526","12,799","1,710",88,"154,046","154,046","8,740","12,382","20,844","19,889","22,792","26,777","24,451","12,637","5,046",458,30,"162,585","162,585","8,054","11,700","20,331","19,009","23,138","29,118","27,283","14,889","7,753","1,252",58
